source,target,value
5c1,6c1,60
5c2,6c2,59
5c3,6c3,40
5c4,6c4,32
5c5,6c6,6
5c5,6c5,21
6c1,7c1,3
6c1,7c2,33
6c1,7c5,24
6c2,7c1,59
6c3,7c1,4
6c3,7c3,31
6c3,7c5,5
6c4,7c3,1
6c4,7c4,28
6c4,7c7,2
6c5,7c6,21
6c6,7c7,7
